Comment,Designator,Footprint,LCSC,Quantity
250V 1uF,C51,C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4,,1
250V 1uF,C50,C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4,,1
+12V,TP7,CheckPoint_1608Metric,,1
TSD3JFSH,D11,SODFL4725X110N,,1
PU2 BASE,TP2,CheckPoint_1608Metric,,1
FP-C-R16M,CN1,FP-C-R16M,,1
TSD3JFSH,D1,SODFL4725X110N,,1
PIC16F15245-I_SS,IC1,SOP65P780X200-20N,,1
CAP CHG,TP10,CheckPoint_1608Metric,,1
GND,TP11,CheckPoint_1608Metric,,1
42J04,SW2,42J04,,1
+5V,TP9,CheckPoint_1608Metric,,1
PU2 INPUT,TP4,CheckPoint_1608Metric,,1
42J04,SW1,42J04,,1
EDS102SZ,SW5,EDS102SZ,,1
42J04,SW3,42J04,,1
35V 270uF,C10,CP_Radial_D10.0mm_P5.00mm,,1
PU1 BASE,TP3,CheckPoint_1608Metric,,1
16V 100uF,C21,CP_Radial_D6.3mm_P2.50mm,,1
PU1 INPUT,TP5,CheckPoint_1608Metric,,1
PU2 MCUIN,TP12,CheckPoint_1608Metric,,1
42J04,SW4,42J04,,1
WL PU,TP1,CheckPoint_1608Metric,,1
CHG1 OUT,TP8,CheckPoint_1608Metric,,1
PJD1406PA-AU,TR12,TO-252-3,,1
"PMBS3904,215",TR3,SOT-23-3,,1
4.7k,R16,R_0402_1005Metric,,1
10k,R38,R_0402_1005Metric,,1
ZXMN6A11ZTA,Q1,SOT-89-3,,1
10uF,C8,C_0603_1608Metric,,1
22k,R7,R_0402_1005Metric,,1
0.1uF,C6,C_0603_1608Metric,,1
UCC27519AQDBVRQ1,IC3,SOT95P280X145-5N,,1
10k,R33,R_0402_1005Metric,,1
10nF,C43,C_0603_1608Metric,,1
10nF,C18,C_0603_1608Metric,,1
5.1k,R61,R_0402_1005Metric,,1
2.2k,R9,R_0402_1005Metric,,1
RGPR30BM40,Q3,DPAK228P990X239-4N,,1
180k 1/2W,R1,R_2512_6332Metric,,1
0.47uF,C5,C_0603_1608Metric,,1
15k,R8,R_0402_1005Metric,,1
2.2k,R18,R_0402_1005Metric,,1
5.1k,R62,R_0402_1005Metric,,1
1.5k,R23,R_0402_1005Metric,,1
10k,R12,R_0402_1005Metric,,1
TPS7B6950QDCYRQ1,IC2,SOT230P700X180-4N,,1
D5V0H1B2LP-7B,D12,D5V0H1B2LP7B,,1
2.2k,R6,R_0402_1005Metric,,1
RB501SM-30FH,D14,D_SOD-523,,1
10k,R35,R_0402_1005Metric,,1
0.01uF,C9,C_0603_1608Metric,,1
"BZX100A,115",D15,D_SOD-323F,,1
RB501SM-30FH,D13,D_SOD-523,,1
10k,R3,R_0402_1005Metric,,1
0.1uF,C3,C_0603_1608Metric,,1
15k,R5,R_0402_1005Metric,,1
F7A,D17,D_SOD-123FL,,1
10k,R40,R_0402_1005Metric,,1
15k,R13,R_0402_1005Metric,,1
MMUN2232LT1G,TR7,SOT95P237X111-3N,,1
10k,R37,R_0402_1005Metric,,1
2.2k,R15,R_0402_1005Metric,,1
RB501SM-30FH,D5,D_SOD-523,,1
0.01uF,C13,C_0603_1608Metric,,1
SBS25,D6,DIOB_SBS25,,1
0.1uF,C11,C_0603_1608Metric,,1
MMUN2232LT1G,TR1,SOT95P237X111-3N,,1
0.1uF,C12,C_0603_1608Metric,,1
10uF,C14,C_0603_1608Metric,,1
RB501SM-30FH,D10,D_SOD-523,,1
10nF,C4,C_0603_1608Metric,,1
MMUN2232LT1G,TR2,SOT95P237X111-3N,,1
TSD3JFSH,D2,SODFL4725X110N,,1
470,R14,R_0402_1005Metric,,1
10k,R39,R_0402_1005Metric,,1
"PMBS3904,215",TR6,SOT-23-3,,1
180K,R2,R_0402_1005Metric,,1
10k,R4,R_0402_1005Metric,,1
ZXMN6A11ZTA,Q2,SOT-89-3,,1
RB501SM-30FH,D8,D_SOD-523,,1
1uF,C2,C_0603_1608Metric,,1
F7A,D16,D_SOD-123FL,,1
RB501SM-30FH,D9,D_SOD-523,,1
2.2k,R27,R_0402_1005Metric,,1
1k,R19,R_0402_1005Metric,,1
10k,R36,R_0402_1005Metric,,1
RB501SM-30FH,D7,D_SOD-523,,1
BZX84C9V1LT1G,DZ2,SOT-23-3,,1
2.2k,R31,R_0402_1005Metric,,1
5.6k,R20,R_0402_1005Metric,,1
F7A,D3,D_SOD-123FL,,1
0.1u,C17,C_0603_1608Metric,,1
150k 1W,R22,R_2512_6332Metric,,1
IPN50R2K0CEATMA1,Q4,SOT-223-3_TabPin2,,1
4.7k,R17,R_0402_1005Metric,,1
"PMBS3904,215",TR5,SOT-23-3,,1
3.3k,R24,R_0402_1005Metric,,1
2.2uF,C1,C_1206_3216Metric,,1
10k,R41,R_0402_1005Metric,,1
180k,R11,R_0402_1005Metric,,1
10k,R34,R_0402_1005Metric,,1
F7A,D4,D_SOD-123FL,,1
0.1uF,C7,C_0603_1608Metric,,1
10k,R32,R_0402_1005Metric,,1
